,Accuracy,Precision,Recall,F1,ROC-AUC,AP
BiLSTM + Attention,0.8277,0.8059505988023952,0.8626076507109954,0.8333172100222501,0.9101518988977217,0.906599441105028
BiLSTM + GloVe,0.8389,0.815308595935111,0.8757260164229922,0.8444380069524913,0.922870088825374,0.9208037980809636
