Model,Accuracy,Precision,Recall,F1,ROC-AUC,AP
Logistic Regression,0.9634,0.9504478193146417,0.977668736230723,0.9638661269621878,0.9956901315526577,0.9957212733542705
Random Forest,0.9594,0.9453398058252427,0.9750650911275787,0.9599723947550034,0.9950793653555562,0.995127359994785
