,accuracy,precision,recall,f1,roc_auc,training_time
Logistic Regression,0.9634,0.9504478193146417,0.977668736230723,0.9638661269621878,0.9956901315526577,0.3410780429840088
Random Forest,0.9594,0.9453398058252427,0.9750650911275787,0.9599723947550034,0.9950793653555561,699.780308008194
